algorithm,cls_name,leaf_size,log_time,metric,metric_params,n_jobs,n_neighbors,p,test_accuracy,test_shape,time_test_test,time_test_train,time_training,train_accuracy,train_shape,weights
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,1,2,50.0,"(10, 784)",0.0013418197631835938,0.010129690170288086,0.006973743438720703,100.0,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,2,2,70.0,"(10, 784)",0.0014481544494628906,0.011740922927856445,0.0005016326904296875,78.8888888889,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,3,2,60.0,"(10, 784)",0.001462697982788086,0.009303808212280273,0.0004870891571044922,76.6666666667,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,4,2,60.0,"(10, 784)",0.003091096878051758,0.013323783874511719,0.0004553794860839844,74.4444444444,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,5,2,60.0,"(10, 784)",0.0013854503631591797,0.009684324264526367,0.0005750656127929688,71.1111111111,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,6,2,60.0,"(10, 784)",0.001455068588256836,0.011159896850585938,0.0004673004150390625,67.7777777778,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,7,2,40.0,"(10, 784)",0.0014836788177490234,0.011626958847045898,0.0006349086761474609,66.6666666667,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,8,2,40.0,"(10, 784)",0.0013327598571777344,0.009414911270141602,0.00048732757568359375,60.0,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,9,2,50.0,"(10, 784)",0.0014622211456298828,0.011431455612182617,0.0005202293395996094,63.3333333333,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,10,2,50.0,"(10, 784)",0.0013418197631835938,0.009490966796875,0.0005457401275634766,61.1111111111,"(90, 784)",uniform
