cls_name,log_time,n_components,priors,shrinkage,solver,store_covariance,test_accuracy,test_shape,time_test_test,time_test_train,time_training,tol,train_accuracy,train_shape
LinearDiscriminantAnalysis,2018-01-18 22:51:29,,,,svd,False,50.0,"(10, 784)",0.00017118453979492188,0.0004703998565673828,0.014286279678344727,0.0001,93.3333333333,"(90, 784)"
LinearDiscriminantAnalysis,2018-01-18 22:52:04,,,,svd,False,75.3939393939,"(9900, 784)",0.06088662147521973,0.0005207061767578125,0.013893365859985352,0.0001,91.0,"(100, 784)"
LinearDiscriminantAnalysis,2018-01-18 23:07:30,,,,svd,False,50.0,"(10, 784)",0.0001761913299560547,0.0004744529724121094,0.018527746200561523,0.0001,93.3333333333,"(90, 784)"
LinearDiscriminantAnalysis,2018-01-18 23:07:31,,,,svd,False,50.0,"(10, 784)",0.00017261505126953125,0.0004737377166748047,0.013568639755249023,0.0001,93.3333333333,"(90, 784)"
LinearDiscriminantAnalysis,2018-01-18 23:07:32,,,,svd,False,50.0,"(10, 784)",0.0001709461212158203,0.0004742145538330078,0.01500844955444336,0.0001,93.3333333333,"(90, 784)"
LinearDiscriminantAnalysis,2018-01-18 23:07:39,,,,svd,False,50.0,"(10, 784)",0.00017404556274414062,0.0004639625549316406,0.01334071159362793,0.0001,93.3333333333,"(90, 784)"
LinearDiscriminantAnalysis,2018-01-18 23:07:40,,,,svd,False,50.0,"(10, 784)",0.00017499923706054688,0.0005128383636474609,0.01757645606994629,0.0001,93.3333333333,"(90, 784)"
LinearDiscriminantAnalysis,2018-01-26 13:03:02,,,,svd,False,77.7676767677,"(9900, 43)",0.0026128292083740234,0.00020694732666015625,0.0030031204223632812,0.0001,100.0,"(100, 43)"
LinearDiscriminantAnalysis,2018-01-26 13:03:08,,,,svd,False,75.3434343434,"(9900, 18)",0.0016727447509765625,0.00020265579223632812,0.0017426013946533203,0.0001,90.0,"(100, 18)"
LinearDiscriminantAnalysis,2018-01-26 13:03:19,,,,svd,False,76.4444444444,"(9900, 43)",0.0025718212127685547,0.0005228519439697266,0.016803264617919922,0.0001,95.7,"(1000, 43)"
LinearDiscriminantAnalysis,2018-01-26 13:03:24,,,,svd,False,77.0707070707,"(9900, 43)",0.0025794506072998047,0.0003237724304199219,0.003742694854736328,0.0001,96.4,"(500, 43)"
LinearDiscriminantAnalysis,2018-01-26 13:03:54,,,,svd,False,79.8888888889,"(9900, 43)",0.0025751590728759766,0.00030422210693359375,0.0037038326263427734,0.0001,97.4,"(500, 43)"
LinearDiscriminantAnalysis,2018-01-26 13:03:57,,,,svd,False,79.8888888889,"(9900, 43)",0.006537914276123047,0.00033974647521972656,0.007724761962890625,0.0001,97.4,"(500, 43)"
LinearDiscriminantAnalysis,2018-01-26 13:04:04,,,,svd,False,81.4444444444,"(9900, 43)",0.002554178237915039,0.00023245811462402344,0.006054878234863281,0.0001,100.0,"(100, 43)"
LinearDiscriminantAnalysis,2018-01-26 13:04:06,,,,svd,False,81.4444444444,"(9900, 43)",0.00575566291809082,0.00020432472229003906,0.003036022186279297,0.0001,100.0,"(100, 43)"
LinearDiscriminantAnalysis,2018-01-26 13:04:10,,,,svd,False,80.2828282828,"(9900, 46)",0.005961894989013672,0.00021696090698242188,0.0032548904418945312,0.0001,100.0,"(100, 46)"
LinearDiscriminantAnalysis,2018-01-26 13:04:14,,,,svd,False,81.4141414141,"(9900, 40)",0.0024352073669433594,0.00020051002502441406,0.0027284622192382812,0.0001,99.0,"(100, 40)"
LinearDiscriminantAnalysis,2018-01-26 13:04:23,,,,svd,False,75.6464646465,"(9900, 15)",0.002618074417114258,0.00018858909606933594,0.0015387535095214844,0.0001,88.0,"(100, 15)"
LinearDiscriminantAnalysis,2018-01-26 13:04:27,,,,svd,False,80.9797979798,"(9900, 30)",0.002056598663330078,0.00020956993103027344,0.0020940303802490234,0.0001,99.0,"(100, 30)"
LinearDiscriminantAnalysis,2018-01-26 13:04:31,,,,svd,False,81.4141414141,"(9900, 40)",0.007319927215576172,0.0033049583435058594,0.0027396678924560547,0.0001,99.0,"(100, 40)"
LinearDiscriminantAnalysis,2018-01-26 13:04:34,,,,svd,False,79.6868686869,"(9900, 50)",0.004910707473754883,0.0002856254577636719,0.006654500961303711,0.0001,100.0,"(100, 50)"
LinearDiscriminantAnalysis,2018-01-26 13:04:39,,,,svd,False,81.5050505051,"(9900, 39)",0.002379894256591797,0.00019979476928710938,0.0027627944946289062,0.0001,99.0,"(100, 39)"
LinearDiscriminantAnalysis,2018-01-26 13:04:43,,,,svd,False,81.7272727273,"(9900, 38)",0.002336740493774414,0.00020122528076171875,0.0026743412017822266,0.0001,99.0,"(100, 38)"
LinearDiscriminantAnalysis,2018-01-26 13:04:47,,,,svd,False,81.8787878788,"(9900, 37)",0.0064814090728759766,0.0002498626708984375,0.0026674270629882812,0.0001,99.0,"(100, 37)"
LinearDiscriminantAnalysis,2018-01-26 13:04:55,,,,svd,False,81.7373737374,"(9900, 36)",0.002277374267578125,0.00019979476928710938,0.0024025440216064453,0.0001,99.0,"(100, 36)"
LinearDiscriminantAnalysis,2018-01-26 13:05:54,,,,svd,False,79.8080808081,"(9900, 36)",0.002315521240234375,0.0002923011779785156,0.0031316280364990234,0.0001,95.4,"(500, 36)"
LinearDiscriminantAnalysis,2018-01-26 13:06:03,,,,svd,False,79.7878787879,"(9900, 37)",0.0023810863494873047,0.0002911090850830078,0.003377676010131836,0.0001,97.6,"(500, 37)"
LinearDiscriminantAnalysis,2018-01-26 13:06:12,,,,svd,False,78.0808080808,"(9900, 37)",0.002390623092651367,0.0004494190216064453,0.004108905792236328,0.0001,95.6,"(1000, 37)"
LinearDiscriminantAnalysis,2018-01-26 13:10:18,,,,svd,False,81.8787878788,"(9900, 37)",0.002309083938598633,0.00020074844360351562,0.0026242733001708984,0.0001,99.0,"(100, 37)"
LinearDiscriminantAnalysis,2018-01-26 13:10:29,,,,svd,False,88.7,"(1000, 37)",0.0004227161407470703,0.003186464309692383,0.022361278533935547,0.0001,89.2111111111,"(9000, 37)"
LinearDiscriminantAnalysis,2018-01-26 14:06:52,,,,svd,False,15.0,"(100, 784)",0.0004763603210449219,0.0647425651550293,2.2294137477874756,0.0001,92.43,"(10000, 784)"
LinearDiscriminantAnalysis,2018-01-26 14:07:40,,,,svd,False,88.7,"(1000, 784)",0.0037097930908203125,0.05271601676940918,2.0362117290496826,0.0001,92.8777777778,"(9000, 784)"
