C,class_weight,cls_name,dual,fit_intercept,intercept_scaling,log_time,max_iter,multi_class,n_jobs,penalty,random_state,solver,test_accuracy,test_shape,time_test_test,time_test_train,time_training,tol,train_accuracy,train_shape,verbose,warm_start
0.00411522633744856,,LogisticRegression,False,True,1,2018-01-18 23:07:53,1000,ovr,1,l2,,liblinear,40.0,"(10, 784)",0.0001780986785888672,0.0005285739898681641,0.016464948654174805,0.0001,84.4444444444,"(90, 784)",0,False
0.012345679012345678,,LogisticRegression,False,True,1,2018-01-18 23:07:53,1000,ovr,1,l2,,liblinear,50.0,"(10, 784)",0.00018143653869628906,0.0006999969482421875,0.016935110092163086,0.0001,94.4444444444,"(90, 784)",0,False
0.037037037037037035,,LogisticRegression,False,True,1,2018-01-18 23:07:53,1000,ovr,1,l2,,liblinear,50.0,"(10, 784)",0.00019240379333496094,0.002373933792114258,0.01753377914428711,0.0001,100.0,"(90, 784)",0,False
0.1111111111111111,,LogisticRegression,False,True,1,2018-01-18 23:07:53,1000,ovr,1,l2,,liblinear,50.0,"(10, 784)",0.00017523765563964844,0.00045371055603027344,0.01964592933654785,0.0001,100.0,"(90, 784)",0,False
0.3333333333333333,,LogisticRegression,False,True,1,2018-01-18 23:07:53,1000,ovr,1,l2,,liblinear,50.0,"(10, 784)",0.0002856254577636719,0.0009157657623291016,0.022706270217895508,0.0001,100.0,"(90, 784)",0,False
1,,LogisticRegression,False,True,1,2018-01-18 23:07:53,1000,ovr,1,l2,,liblinear,50.0,"(10, 784)",0.0001316070556640625,0.0004200935363769531,0.02590346336364746,0.0001,100.0,"(90, 784)",0,False
3,,LogisticRegression,False,True,1,2018-01-18 23:07:53,1000,ovr,1,l2,,liblinear,50.0,"(10, 784)",0.00012373924255371094,0.00040030479431152344,0.022417068481445312,0.0001,100.0,"(90, 784)",0,False
9,,LogisticRegression,False,True,1,2018-01-18 23:07:53,1000,ovr,1,l2,,liblinear,50.0,"(10, 784)",0.00012159347534179688,0.0003197193145751953,0.021051645278930664,0.0001,100.0,"(90, 784)",0,False
27,,LogisticRegression,False,True,1,2018-01-18 23:07:53,1000,ovr,1,l2,,liblinear,60.0,"(10, 784)",0.0001392364501953125,0.00040459632873535156,0.028055667877197266,0.0001,100.0,"(90, 784)",0,False
81,,LogisticRegression,False,True,1,2018-01-18 23:07:53,1000,ovr,1,l2,,liblinear,60.0,"(10, 784)",0.00012373924255371094,0.0004355907440185547,0.025823116302490234,0.0001,100.0,"(90, 784)",0,False
