activation,alpha,batch_size,beta_1,beta_2,cls_name,early_stopping,epsilon,hidden_layer_sizes,learning_rate,learning_rate_init,log_time,max_iter,momentum,nesterovs_momentum,power_t,random_state,shuffle,solver,test_accuracy,test_shape,time_test_test,time_test_train,time_training,tol,train_accuracy,train_shape,validation_fraction,verbose,warm_start
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 22:04:42,10000,0.9,True,0.5,1,True,adam,40.0,"(10, 784)",0.0032227039337158203,0.008869647979736328,9.661827325820923,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 22:31:01,10000,0.9,True,0.5,1,True,adam,40.0,"(10, 784)",0.006781339645385742,0.008721590042114258,9.598154067993164,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 22:33:32,10000,0.9,True,0.5,1,True,adam,40.0,"(10, 784)",0.0032660961151123047,0.01206517219543457,2.281045436859131,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 22:36:55,10000,0.9,True,0.5,1,True,adam,40.0,"(10, 784)",0.006685733795166016,0.009042978286743164,6.332695484161377,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 22:37:47,10000,0.9,True,0.5,1,True,adam,40.0,"(10, 784)",0.004770517349243164,0.009113311767578125,2.2739007472991943,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 22:38:52,10000,0.9,True,0.5,1,True,adam,40.0,"(10, 784)",0.006811380386352539,0.013194084167480469,1.6003508567810059,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 22:40:26,10000,0.9,True,0.5,1,True,adam,50.0,"(10, 784)",0.006886720657348633,0.009047269821166992,3.372549057006836,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 22:40:30,10000,0.9,True,0.5,1,True,adam,50.0,"(10, 784)",0.006861686706542969,0.009093999862670898,1.1314139366149902,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 22:41:57,10000,0.9,True,0.5,1,True,adam,40.0,"(10, 784)",0.006102323532104492,0.00905752182006836,0.5414762496948242,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 22:51:39,10000,0.9,True,0.5,1,True,adam,40.0,"(10, 784)",0.0032618045806884766,0.009776592254638672,10.255669355392456,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 22:52:11,10000,0.9,True,0.5,1,True,adam,77.0303030303,"(9900, 784)",0.9270045757293701,0.00973820686340332,6.6656928062438965,0.0001,100.0,"(100, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"(800, 200, 30)",constant,0.001,2018-01-18 23:07:53,10000,0.9,True,0.5,1,True,adam,40.0,"(10, 784)",0.003271341323852539,0.009119033813476562,10.873323917388916,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.01,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-21 17:00:09,10000,0.9,True,0.5,1,True,adam,60.0,"(10, 784)",0.0034172534942626953,0.08471035957336426,53.98958706855774,0.0001,100.0,"(900, 784)",0.1,False,False
tanh,0.01,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-21 17:03:41,10000,0.9,True,0.5,1,True,adam,40.0,"(10, 784)",0.0034346580505371094,0.01826643943786621,11.21178650856018,0.0001,100.0,"(90, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-26 18:09:23,10000,0.9,True,0.5,1,True,adam,76.7171717172,"(9900, 784)",0.971839427947998,0.009757041931152344,10.909626007080078,0.0001,100.0,"(100, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-26 18:10:05,10000,0.9,True,0.5,1,True,adam,75.4949494949,"(9900, 784)",0.9447445869445801,0.04492497444152832,28.771634101867676,0.0001,100.0,"(500, 784)",0.1,False,False
tanh,0.012345679012345678,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-26 18:10:23,10000,0.9,True,0.5,1,True,adam,76.1111111111,"(9900, 40)",0.4986729621887207,0.026750802993774414,7.5967185497283936,0.0001,100.0,"(500, 40)",0.1,False,False
tanh,0.004,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-26 18:25:41,10000,0.9,True,0.5,1,True,adam,97.5,"(1000, 784)",0.1995840072631836,4.5551369190216064,140.85748147964478,0.0001,99.8333333333,"(45000, 784)",0.1,False,False
tanh,0.0041152263,auto,0.9,0.999,MLPClassifier,False,1e-08,"[800, 200, 30]",constant,0.001,2018-01-26 18:30:57,10000,0.9,True,0.5,1,True,adam,98.1,"(1000, 784)",0.09516334533691406,4.213743209838867,137.83971285820007,0.0001,99.9822222222,"(45000, 784)",0.1,False,False
