C,cache_size,class_weight,cls_name,coef0,decision_function_shape,degree,gamma,kernel,log_time,max_iter,probability,random_state,shrinking,test_accuracy,test_shape,time_test_test,time_test_train,time_training,tol,train_accuracy,train_shape,verbose
0.00411522633744856,200,,SVC,0.0,ovr,3,0.001,rbf,2018-01-18 23:07:41,-1,False,,True,0.0,"(10, 784)",0.003964424133300781,0.010713815689086914,0.015309810638427734,0.001,16.6666666667,"(90, 784)",False
0.012345679012345678,200,,SVC,0.0,ovr,3,0.001,rbf,2018-01-18 23:07:41,-1,False,,True,0.0,"(10, 784)",0.0012023448944091797,0.010904788970947266,0.01602482795715332,0.001,16.6666666667,"(90, 784)",False
0.037037037037037035,200,,SVC,0.0,ovr,3,0.001,rbf,2018-01-18 23:07:41,-1,False,,True,0.0,"(10, 784)",0.0022039413452148438,0.011602163314819336,0.018995285034179688,0.001,16.6666666667,"(90, 784)",False
0.1111111111111111,200,,SVC,0.0,ovr,3,0.001,rbf,2018-01-18 23:07:41,-1,False,,True,0.0,"(10, 784)",0.0009508132934570312,0.0074329376220703125,0.017866134643554688,0.001,16.6666666667,"(90, 784)",False
0.3333333333333333,200,,SVC,0.0,ovr,3,0.001,rbf,2018-01-18 23:07:41,-1,False,,True,0.0,"(10, 784)",0.0009429454803466797,0.007391452789306641,0.015703678131103516,0.001,27.7777777778,"(90, 784)",False
1,200,,SVC,0.0,ovr,3,0.001,rbf,2018-01-18 23:07:41,-1,False,,True,10.0,"(10, 784)",0.0009951591491699219,0.008491039276123047,0.01957869529724121,0.001,42.2222222222,"(90, 784)",False
3,200,,SVC,0.0,ovr,3,0.001,rbf,2018-01-18 23:07:41,-1,False,,True,50.0,"(10, 784)",0.0014939308166503906,0.008088111877441406,0.01633286476135254,0.001,94.4444444444,"(90, 784)",False
9,200,,SVC,0.0,ovr,3,0.001,rbf,2018-01-18 23:07:41,-1,False,,True,60.0,"(10, 784)",0.0009655952453613281,0.007442951202392578,0.01703047752380371,0.001,100.0,"(90, 784)",False
27,200,,SVC,0.0,ovr,3,0.001,rbf,2018-01-18 23:07:41,-1,False,,True,70.0,"(10, 784)",0.0014927387237548828,0.00819540023803711,0.015335559844970703,0.001,100.0,"(90, 784)",False
81,200,,SVC,0.0,ovr,3,0.001,rbf,2018-01-18 23:07:41,-1,False,,True,70.0,"(10, 784)",0.0015583038330078125,0.007877826690673828,0.01904463768005371,0.001,100.0,"(90, 784)",False
243,200,,SVC,0.0,ovr,3,0.001,rbf,2018-01-18 23:07:41,-1,False,,True,70.0,"(10, 784)",0.0011441707611083984,0.00823068618774414,0.0171658992767334,0.001,100.0,"(90, 784)",False
