FileName, upper_bound, lower_bound, time,vertices,edge_prob,max_weight,accuracy2,accuracy1,,accuracy,time
maxcut_10_05_100_instance_01,903.03,860,0.39426,10,0.5,100,0.050034884,1.050034884,1.042581729,1.065472745,27.30078714
maxcut_10_05_50_instance_01,423.91,406,0.29202,10,0.5,50,0.0441133,1.0441133,,1.073251176,25.33919429
maxcut_10_05_20_instance_01,234.4,213,0.24241,10,0.5,20,0.100469484,1.100469484,,1.057300828,26.01000571
maxcut_10_05_10_instance_01,89.11,89,0.24156,10,0.5,10,0.001235955,1.001235955,,1.078219309,25.55106286
maxcut_10_05_5_instance_01,53.83,52,0.23336,10,0.5,5,0.035192308,1.035192308,,1.06112002,26.25602
maxcut_10_05_1_instance_01,18.44,18,0.17311,10,0.5,1,0.024444444,1.024444444,,1.060459532,29.08955143
maxcut_10_10_100_instance_01,1366.48,1248,0.21983,10,1,100,0.094935897,1.094935897,1.046244592,1.053380187,26.59929
maxcut_10_10_50_instance_01,749.24,665,0.22002,10,1,50,0.126676692,1.126676692,,1.042017123,26.89238286
maxcut_10_10_20_instance_01,333,333,0.20843,10,1,20,0,1,,1.022521718,27.79002429
maxcut_10_10_10_instance_01,162.42,161,0.34497,10,1,10,0.008819876,1.008819876,,1.038604279,25.41704
maxcut_10_10_5_instance_01,95.51,95,0.23866,10,1,5,0.005368421,1.005368421,,1.025770429,27.78640571
maxcut_10_10_1_instance_01,25,24,0.08289,10,1,1,0.041666667,1.041666667,,1.013563973,9.324054286
maxcut_20_05_100_instance_01,3210.64,2958,0.44855,20,0.5,100,0.08540906,1.08540906,1.07457063,,
maxcut_20_05_50_instance_01,1595.45,1472,0.44002,20,0.5,50,0.083865489,1.083865489,,,
maxcut_20_05_20_instance_01,779.14,764,0.47963,20,0.5,20,0.019816754,1.019816754,,,
maxcut_20_05_10_instance_01,433.21,387,0.44822,20,0.5,10,0.119405685,1.119405685,,,
maxcut_20_05_5_instance_01,206.91,201,0.48767,20,0.5,5,0.029402985,1.029402985,,,
maxcut_20_05_1_instance_01,69.9,63,0.5882,20,0.5,1,0.10952381,1.10952381,,,
maxcut_20_10_100_instance_01,5687.02,5214,0.61625,20,1,100,0.090721135,1.090721135,1.034443485,,
maxcut_20_10_50_instance_01,2945.82,2872,0.58782,20,1,50,0.025703343,1.025703343,,,
maxcut_20_10_1_instance_01,100,99,0.15943,20,1,1,0.01010101,1.01010101,,,
maxcut_20_10_10_instance_01,581.43,555,0.53993,20,1,10,0.047621622,1.047621622,,,
maxcut_20_10_5_instance_01,351.71,344,0.42604,20,1,5,0.022412791,1.022412791,,,
maxcut_20_10_1_instance_01,100,99,0.15943,20,1,1,0.01010101,1.01010101,,,
maxcut_30_05_100_instance_01,7026.78,6471,1.74329,30,0.5,100,0.085887807,1.085887807,1.082597553,,
maxcut_30_05_50_instance_01,4050.97,3682,2.05677,30,0.5,50,0.100209125,1.100209125,,,
maxcut_30_05_20_instance_01,1596.05,1531,1.93276,30,0.5,20,0.04248857,1.04248857,,,
maxcut_30_05_10_instance_01,846.86,765,1.83064,30,0.5,10,0.107006536,1.107006536,,,
maxcut_30_05_5_instance_01,413.77,372,1.77573,30,0.5,5,0.112284946,1.112284946,,,
maxcut_30_05_1_instance_01,150.87,144,1.63696,30,0.5,1,0.047708333,1.047708333,,,
maxcut_30_10_100_instance_01,12754.75,12483,1.96198,30,1,100,0.021769607,1.021769607,1.026818056,,
maxcut_30_10_50_instance_01,6583.51,6442,1.86425,30,1,50,0.021966781,1.021966781,,,
maxcut_30_10_20_instance_01,2757.06,2653,1.5243,30,1,20,0.039223521,1.039223521,,,
maxcut_30_10_10_instance_01,1401.66,1367,1.96055,30,1,10,0.025354792,1.025354792,,,
maxcut_30_10_5_instance_01,787.25,761,1.54261,30,1,5,0.034494087,1.034494087,,,
maxcut_30_10_1_instance_01,225,221,0.87084,30,1,1,0.018099548,1.018099548,,,
maxcut_40_05_100_instance_01,12867.99,12096,6.76637,40,0.5,100,0.063821925,1.063821925,1.077650221,,
maxcut_40_05_50_instance_01,6699.13,6158,7.08729,40,0.5,50,0.08787431,1.08787431,,,
maxcut_40_05_20_instance_01,2780.9,2647,6.40086,40,0.5,20,0.050585569,1.050585569,,,
maxcut_40_05_10_instance_01,1393.4,1248,6.42804,40,0.5,10,0.11650641,1.11650641,,,
maxcut_40_05_5_instance_01,743.89,687,6.13794,40,0.5,5,0.082809316,1.082809316,,,
maxcut_40_05_1_instance_01,252.24,237,6.92584,40,0.5,1,0.064303797,1.064303797,,,
maxcut_40_10_100_instance_01,23422.21,22439,7.07771,40,1,100,0.043817015,1.043817015,1.039202892,,
maxcut_40_10_50_instance_01,11477.52,11056,6.55562,40,1,50,0.038125904,1.038125904,,,
maxcut_40_10_20_instance_01,4700.58,4642,5.01026,40,1,20,0.012619561,1.012619561,,,
maxcut_40_10_10_instance_01,2519.88,2306,6.6434,40,1,10,0.09274935,1.09274935,,,
maxcut_40_10_5_instance_01,1380.28,1330,6.18416,40,1,5,0.037804511,1.037804511,,,
maxcut_40_10_1_instance_01,400,396,2.46659,40,1,1,0.01010101,1.01010101,,,
maxcut_50_05_100_instance_01,21739.33,20361,19.72868,50,0.5,100,0.067694612,1.067694612,1.070337731,,
maxcut_50_05_50_instance_01,10274.13,9627,17.43394,50,0.5,50,0.067220318,1.067220318,,,
maxcut_50_05_20_instance_01,4282.31,3987,17.04716,50,0.5,20,0.074068222,1.074068222,,,
maxcut_50_05_10_instance_01,2137.87,1971,19.60276,50,0.5,10,0.084662608,1.084662608,,,
maxcut_50_05_5_instance_01,1195.08,1115,19.68723,50,0.5,5,0.071820628,1.071820628,,,
maxcut_50_05_1_instance_01,396.21,375,21.30852,50,0.5,1,0.05656,1.05656,,,
maxcut_50_10_100_instance_01,35723.92,34155,18.07071,50,1,100,0.045935295,1.045935295,1.032569286,,
maxcut_50_10_50_instance_01,18433.57,17722,18.53382,50,1,50,0.040151789,1.040151789,,,
maxcut_50_10_20_instance_01,7352.92,7088,17.99978,50,1,20,0.037375847,1.037375847,,,
maxcut_50_10_10_instance_01,3715.04,3570,16.90356,50,1,10,0.040627451,1.040627451,,,
maxcut_50_10_5_instance_01,2080.04,2020,19.20513,50,1,5,0.029722772,1.029722772,,,
maxcut_50_10_1_instance_01,625,624,5.78219,50,1,1,0.001602564,1.001602564,,,
maxcut_60_05_100_instance_01,30320.08,28924,45.74268,60,0.5,100,0.048267183,1.048267183,1.06175064,,
maxcut_60_05_50_instance_01,14441.54,13639,47.44636,60,0.5,50,0.058841557,1.058841557,,,
maxcut_60_05_20_instance_01,6073.61,5731,42.97498,60,0.5,20,0.059781888,1.059781888,,,
maxcut_60_05_10_instance_01,3062.6,2851,42.03166,60,0.5,10,0.074219572,1.074219572,,,
maxcut_60_05_5_instance_01,1724.36,1642,43.56148,60,0.5,5,0.050158343,1.050158343,,,
maxcut_60_05_1_instance_01,550.41,510,46.03839,60,0.5,1,0.079235294,1.079235294,,,
maxcut_60_10_100_instance_01,51419.11,49023,54.02891,60,1,100,0.048877262,1.048877262,1.026380664,,
maxcut_60_10_50_instance_01,25881.31,25450,43.35495,60,1,50,0.016947348,1.016947348,,,
maxcut_60_10_20_instance_01,10615.66,10328,48.26148,60,1,20,0.02785244,1.02785244,,,
maxcut_60_10_10_instance_01,5473.96,5323,50.11021,60,1,10,0.028359947,1.028359947,,,
maxcut_60_10_5_instance_01,3008.66,2932,46.81535,60,1,5,0.026145975,1.026145975,,,
maxcut_60_10_1_instance_01,900,891,18.20784,60,1,1,0.01010101,1.01010101,,,
maxcut_70_05_100_instance_01,39292.72,37167,116.28168,70,0.5,100,0.057193747,1.057193747,1.052305708,,
maxcut_70_05_50_instance_01,19567.98,18277,102.61796,70,0.5,50,0.07063413,1.07063413,,,
maxcut_70_05_20_instance_01,7570.13,7183,112.99224,70,0.5,20,0.053895308,1.053895308,,,
maxcut_70_05_10_instance_01,4237.53,4057,108.27456,70,0.5,10,0.044498398,1.044498398,,,
maxcut_70_05_5_instance_01,2218.93,2121,111.90873,70,0.5,5,0.046171617,1.046171617,,,
maxcut_70_05_1_instance_01,715.47,687,126.95584,70,0.5,1,0.041441048,1.041441048,,,
maxcut_70_10_100_instance_01,68811.52,66963,104.21964,70,1,100,0.027605095,1.027605095,1.022841685,,
maxcut_70_10_50_instance_01,35077.45,34237,117.1302,70,1,50,0.024548004,1.024548004,,,
maxcut_70_10_20_instance_01,14179.4,13760,121.36649,70,1,20,0.030479651,1.030479651,,,
maxcut_70_10_10_instance_01,7354.23,7163,101.41666,70,1,10,0.026696915,1.026696915,,,
maxcut_70_10_5_instance_01,3992.26,3897,120.09289,70,1,5,0.024444444,1.024444444,,,
maxcut_70_10_1_instance_01,1225,1221,37.6986,70,1,1,0.003276003,1.003276003,,,
